game_key,event,year,name,id,category,start_time,duration,runners,host,max_viewers,median_donation,total_donations,donations_per_min,num_chats,is_Bonus,is_TASBot,has_Incentive,has_Goal,developer,publisher,initial_release_year,initial_consoles,initial_consoles_clean,initial_generation,metascore,user_score,was_on_PC,chats_per_hour,is_Sony,is_Nintendo,is_Microsoft,is_Sega,is_Atari,is_PC,is_Mobile,is_Arcade,is_Other
SGDQ_2017_Super Adventure Island 2,SGDQ,2017,Super Adventure Island 2,46,,2017-07-03 10:34:00,0.8130555555555556,Ppotdot1,,87985.0,17.5,638.25,13.0833618038948,6891.0,0.0,0.0,0.0,0.0,Hudson Soft,Hudson Soft,1994.0,SNES,SNES,4,,,0.0,8475.435599590022,0,1,0,0,0,0,0,0,0
SGDQ_2017_ActRaiser,SGDQ,2017,ActRaiser,47,,2017-07-03 11:34:00,1.02,Straevaras,,91335.0,10.0,425.0,6.94444444444444,11240.0,0.0,0.0,1.0,0.0,Quintet,Enix,1990.0,Super Nintendo Entertainment System,SNES,4,,,0.0,11019.607843137255,0,1,0,0,0,0,0,0,0
SGDQ_2017_E.V.O.: Search for Eden,SGDQ,2017,E.V.O.: Search for Eden,48,,2017-07-03 12:45:00,0.8516666666666667,Darkwing Duck,,106136.0,20.0,620.0,12.133072407045,12895.0,0.0,0.0,0.0,0.0,Almanic,Enix,1992.0,Super Nintendo Entertainment System,SNES,4,,,0.0,15140.900195694716,0,1,0,0,0,0,0,0,0
SGDQ_2017_The Lion King,SGDQ,2017,The Lion King,49,,2017-07-03 13:43:00,0.25083333333333335,Akiteru,,114547.0,10.0,330.0,21.9269102990033,7180.0,0.0,0.0,0.0,0.0,Westwood Studios,Virgin Interactive,1994.0,"SNES, Genesis","SNES, Sega Genesis",4,,,0.0,28624.58471760797,0,1,0,1,0,0,0,0,0
SGDQ_2017_Castle of Illusion Starring Mickey Mouse,SGDQ,2017,Castle of Illusion Starring Mickey Mouse,50,,2017-07-03 14:11:00,0.3144444444444444,darbian,,119968.0,17.5,966.0,51.2014134275618,5319.0,0.0,0.0,0.0,0.0,Sega,Sega,1990.0,Sega Genesis,Sega Genesis,4,,,0.0,16915.547703180215,0,0,0,1,0,0,0,0,0
SGDQ_2017_Crash Bandicoot,SGDQ,2017,Crash Bandicoot,51,,2017-07-03 14:41:00,0.6994444444444444,WhitePaaws,,143812.0,10.0,2068.19,49.2817315329627,15569.0,0.0,0.0,0.0,0.0,Naughty Dog,Sony Computer Entertainment,1996.0,PlayStation,PlayStation,5,,,0.0,22259.09451945989,0,0,0,0,0,0,0,0,0
SGDQ_2017_Spyro: Year of the Dragon,SGDQ,2017,Spyro: Year of the Dragon,52,,2017-07-03 15:49:00,0.9383333333333334,Dactyly,,148451.0,15.0,2180.06,38.7222024866785,19863.0,0.0,0.0,0.0,0.0,Insomniac Games,Sony Computer Entertainment,2000.0,PlayStation,PlayStation,5,91.0,9.0,0.0,21168.383658969804,0,0,0,0,0,0,0,0,0
SGDQ_2017_Ape Escape,SGDQ,2017,Ape Escape,53,,2017-07-03 16:57:00,1.475,Eednob,,152950.0,20.0,2638.84,29.8174011299435,28310.0,0.0,0.0,0.0,0.0,Japan Studio,Sony Computer Entertainment,1999.0,PlayStation,PlayStation,5,,,0.0,19193.22033898305,0,0,0,0,0,0,0,0,0
SGDQ_2017_Super Monkey Ball Deluxe,SGDQ,2017,Super Monkey Ball Deluxe,54,,2017-07-03 18:36:00,1.4394444444444445,Jcool114,,171829.0,20.0,24590.56,284.722809725975,38859.0,0.0,0.0,1.0,1.0,Sega,Sega,2005.0,"PS2, Xbox","PS2, Xbox",6,,,0.0,26995.831725202625,1,0,1,0,0,0,0,0,0
SGDQ_2017_Freedom Planet,SGDQ,2017,Freedom Planet,55,,2017-07-03 20:20:00,0.7386111111111111,Fladervy,,167777.0,25.0,5612.11,126.636555095901,25166.0,0.0,0.0,0.0,0.0,GalaxyTrail,GalaxyTrail,2014.0,Windows,PC,Various,84.0,8.5,1.0,34072.0571643475,0,0,0,0,0,1,0,0,0
